Linux 6.8.0-88-generic (higashikoganei) 	12/19/2025 	_x86_64_	(4 CPU)

01:06:49 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:06:50 PM     0    128122    9.00    1.00    2.00    0.00   12.00     0  qemu-system-x86
01:06:51 PM     0    128122   15.00    2.00    6.00    0.00   23.00     0  qemu-system-x86
01:06:52 PM     0    128122   17.00    1.00    6.00    0.00   24.00     1  qemu-system-x86
01:06:53 PM     0    128122   13.00    2.00    2.00    2.00   17.00     2  qemu-system-x86
01:06:54 PM     0    128122   17.00    2.00    4.00    0.00   23.00     2  qemu-system-x86
01:06:55 PM     0    128122   16.00    1.00    3.00    0.00   20.00     2  qemu-system-x86
01:06:56 PM     0    128122   16.00    1.00    2.00    0.00   19.00     2  qemu-system-x86
01:06:57 PM     0    128122   16.00    2.00    2.00    0.00   20.00     0  qemu-system-x86
01:06:58 PM     0    128122   17.00    2.00    1.00    0.00   20.00     1  qemu-system-x86
01:06:59 PM     0    128122   16.00    1.00    2.00    0.00   19.00     1  qemu-system-x86
01:07:00 PM     0    128122   16.00    1.00    2.00    0.00   19.00     3  qemu-system-x86
01:07:01 PM     0    128122   16.00    2.00    4.00    0.00   22.00     2  qemu-system-x86
01:07:02 PM     0    128122   14.00    1.00    1.00    0.00   16.00     3  qemu-system-x86
01:07:03 PM     0    128122   15.00    2.00    4.00    0.00   21.00     3  qemu-system-x86
01:07:04 PM     0    128122   15.00    3.00    4.00    0.00   22.00     0  qemu-system-x86
01:07:05 PM     0    128122   12.00    5.00    4.00    0.00   21.00     3  qemu-system-x86
01:07:06 PM     0    128122   14.00    2.00    4.00    0.00   20.00     0  qemu-system-x86
01:07:07 PM     0    128122   11.00    2.00    5.00    3.00   18.00     0  qemu-system-x86
01:07:08 PM     0    128122   13.00    7.00    8.00    0.00   28.00     3  qemu-system-x86
01:07:09 PM     0    128122   15.00    3.00    6.00    0.00   24.00     3  qemu-system-x86
01:07:10 PM     0    128122   12.00    2.00   10.00    0.00   24.00     1  qemu-system-x86
01:07:11 PM     0    128122   14.00    1.00    5.00    0.00   20.00     2  qemu-system-x86
01:07:12 PM     0    128122   12.00    1.00    7.00    1.00   20.00     1  qemu-system-x86
01:07:13 PM     0    128122   15.00    1.00    7.00    0.00   23.00     2  qemu-system-x86
01:07:14 PM     0    128122   15.00    2.00    3.00    0.00   20.00     1  qemu-system-x86
01:07:15 PM     0    128122   14.00    2.00    4.00    0.00   20.00     1  qemu-system-x86
01:07:16 PM     0    128122   18.00    3.00   53.00    0.00   74.00     2  qemu-system-x86
01:07:17 PM     0    128122   36.00   27.00   97.00    2.00  160.00     1  qemu-system-x86
01:07:18 PM     0    128122   48.00   41.00   79.00    0.00  168.00     1  qemu-system-x86
01:07:19 PM     0    128122   52.00   45.00   66.00    0.00  163.00     1  qemu-system-x86
01:07:20 PM     0    128122   53.00   46.00   58.00    0.00  157.00     2  qemu-system-x86
01:07:21 PM     0    128122   53.00   47.00   52.00    0.00  152.00     1  qemu-system-x86
01:07:22 PM     0    128122   50.00   47.00   47.00    2.00  144.00     2  qemu-system-x86
01:07:23 PM     0    128122   53.00   48.00   42.00    1.00  143.00     2  qemu-system-x86
01:07:24 PM     0    128122   51.00   47.00   45.00    0.00  143.00     2  qemu-system-x86
01:07:25 PM     0    128122   24.00   16.00   12.00    0.00   52.00     2  qemu-system-x86
01:07:26 PM     0    128122   27.00   12.00    4.00    0.00   43.00     0  qemu-system-x86
01:07:27 PM     0    128122   55.00   10.00    6.00    0.00   71.00     0  qemu-system-x86
01:07:28 PM     0    128122   18.00   12.00    9.00    2.00   39.00     2  qemu-system-x86
01:07:29 PM     0    128122   25.00   12.00    9.00    0.00   46.00     0  qemu-system-x86
01:07:30 PM     0    128122   21.00   18.00    7.00    0.00   46.00     1  qemu-system-x86
01:07:31 PM     0    128122   20.00   19.00    8.00    0.00   47.00     3  qemu-system-x86
01:07:32 PM     0    128122   27.00   11.00    8.00    0.00   46.00     2  qemu-system-x86
01:07:33 PM     0    128122   12.00    8.00    5.00    0.00   25.00     2  qemu-system-x86
01:07:34 PM     0    128122   23.00   12.00    8.00    1.00   43.00     1  qemu-system-x86
01:07:35 PM     0    128122   30.69   16.83    4.95    0.00   52.48     2  qemu-system-x86
01:07:36 PM     0    128122   31.00   11.00   10.00    0.00   52.00     2  qemu-system-x86
01:07:37 PM     0    128122   38.00   15.00    9.00    0.00   62.00     0  qemu-system-x86
01:07:38 PM     0    128122   25.00   14.00    5.00    3.00   44.00     3  qemu-system-x86
01:07:39 PM     0    128122   15.00    3.00    5.00    0.00   23.00     2  qemu-system-x86
01:07:40 PM     0    128122    5.00    6.00    6.00    1.00   17.00     3  qemu-system-x86
01:07:41 PM     0    128122   30.00    9.00    8.00    0.00   47.00     1  qemu-system-x86
01:07:42 PM     0    128122   18.00   12.00    9.00    0.00   39.00     2  qemu-system-x86
01:07:43 PM     0    128122   10.00    6.00    7.00    0.00   23.00     0  qemu-system-x86
01:07:44 PM     0    128122    0.00    0.00    0.00    0.00    0.00     0  qemu-system-x86
01:07:45 PM     0    128122    0.00    0.00    0.00    0.00    0.00     0  qemu-system-x86
01:07:46 PM     0    128122    0.00    0.00    0.00    0.00    0.00     0  qemu-system-x86
01:07:47 PM     0    128122    0.00    0.00    0.00    0.00    0.00     0  qemu-system-x86
01:07:48 PM     0    128122    0.00    0.00    0.00    0.00    0.00     0  qemu-system-x86
01:07:49 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:07:50 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:07:51 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:07:52 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:07:53 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:07:54 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:07:55 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:07:56 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:07:57 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:07:58 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:07:59 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:00 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:01 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:02 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:03 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:04 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:05 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:06 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:07 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:08 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:09 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:10 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:11 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:12 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:13 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:14 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:15 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:16 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:17 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:18 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:19 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
01:08:20 PM     0    128122    0.00    0.00    0.00    0.00    0.00     1  qemu-system-x86
